system:index,ID,Number,Delta Name,Region,Boundaries,Lat,Lon,DeltaArea,population_1975,population_1980,population_1985,population_1990,population_1995,population_2000,population_2005,population_2010,population_2015,population_2020,population_2025,population_2030,ESRI_water,ESRI_agri,ESRI_built,NaturalArea,GHM_mean_modification,NaturalFraction
7,42,30,Congo,Africa,"[(-25, 60), (-40, 35)]",-6.005386826,12.66141185,1.59E+03,7365.30672,10597.5573,15515.78509,23250.22744,36246.10384,57788.97854,89275.98602,124377.1383,160138.5095,196170.9968,258163.3829,324435.6607,5.93E+02,2.32E+00,1.75E+01,9.77E+02,0.130342654,0.98
8,75,2,Copper,Arctic,"[(-179, 179), (60, 80)]",60.35033218,-145.2853555,1.33E+03,0,0,0,0,0,0,0,0,0,0,0,0,5.94E+02,3.62E-02,4.97E-01,7.35E+02,0.001288264,1
9,22,32,Danube,Europe,"[(-25, 60), (35, 60)]",45.11343233,29.22215376,5.46E+03,30432.2808,31853.89443,32900.73822,33876.93724,33642.49253,32265.71913,30626.96966,28200.26732,25913.09862,24139.3705,22173.29271,21638.04832,1.31E+03,8.33E+02,4.27E+01,3.27E+03,0.069990536,0.8
0000000000000000000a,70,79,Digul,Australia and Oceania,"[(100, 180), (-50, 9)]",-7.077531315,139.0724117,5.64E+03,460.145624,645.9236375,979.2720908,1458.111584,2088.249333,2904.791542,4258.710773,5908.535906,8127.605457,10605.79131,13595.75022,17326.09302,8.23E+02,7.74E-01,1.17E+00,4.82E+03,0.037963195,1
0000000000000000000b,86,34,Dnieper,Europe,"[(-25, 60), (35, 60)]",46.6232346,32.68016108,2.32E+03,37683.36579,38145.43535,38834.14606,39465.47173,39872.46514,38408.1534,36831.67247,35881.88896,35468.29489,34523.23389,31365.06753,31829.10237,1.39E+02,3.75E+00,1.90E+01,2.16E+03,0.276714119,0.99
0000000000000000000c,65,20,Doce,South America,"[(-110, -30), (-60, 12)]",-19.29384138,-39.84289431,2.22E+03,22153.95461,23454.89034,26180.12503,28437.30386,30673.98153,32944.29312,35996.2746,38398.06194,40331.57162,42280.51412,43380.41579,44640.39746,8.14E+01,1.10E+02,4.55E+01,1.98E+03,0.238941104,0.93
0000000000000000000d,77,40,Don,Europe,"[(-25, 60), (35, 60)]",47.21467376,39.74141731,1.85E+03,35491.40253,36584.04583,37355.24331,38350.37262,39278.81139,39543.14699,39734.39293,40307.51748,41692.90741,44863.65229,44682.49789,44906.54507,1.26E+02,3.62E+02,5.81E+01,1.30E+03,0.532352645,0.77
0000000000000000000e,21,25,Ebro,Europe,"[(-25, 60), (35, 60)]",40.69049216,0.711879887,3.27E+02,11459.92124,11962.93532,12583.49047,13001.46533,13831.49799,14955.86435,17648.96038,20409.282,20416.7327,20359.06543,20610.28524,20651.21521,4.20E+01,2.29E+02,1.62E+01,3.98E+01,0.438421067,0.19
0000000000000000000f,64,82,Fly,Australia and Oceania,"[(100, 180), (-50, 9)]",-8.450970922,143.287477,5.18E+03,10746.97792,10977.0605,11161.25447,11300.75875,12794.121,14268.05731,15817.65934,17227.2318,17848.29201,17024.75632,17742.64493,17661.38076,2.60E+03,7.89E-02,3.68E+00,2.58E+03,0.035797771,1
10,26,4,Fraser,North America,"[(-140, -50), (12, 60)]",49.16802498,-122.9734221,4.08E+03,135002.8992,145883.7461,158407.1758,181133.9107,207246.1093,226243.7475,241045.1098,261537.4802,278907.9157,296757.2321,310994.9694,326466.1765,1.44E+02,1.57E+02,1.81E+02,3.60E+03,0.84277355,0.92
11,35,56,Ganges-Brahmaputra,Asia,"[(60, 150), (9, 60)]",23.32151165,89.73362764,1.05E+05,6.73E+07,7.52E+07,8.52E+07,9.48E+07,1.04E+08,1.13E+08,1.22E+08,1.28E+08,1.35E+08,1.42E+08,1.50E+08,1.58E+08,1.64E+04,4.87E+04,1.65E+04,2.34E+04,0.408490637,0.32
12,47,80,Gilbert,Australia and Oceania,"[(100, 180), (-50, 9)]",-17.0316744,141.1017661,2.18E+03,420.946184,427.4856044,454.7534172,482.1083257,486.0170644,546.8182534,580.7841921,624.520399,639.2260386,642.2925612,635.9229815,625.7810842,1.15E+02,1.70E+01,5.66E+00,2.04E+03,0.004075916,0.99
13,52,53,Godavari,Asia,"[(60, 150), (9, 60)]",16.60519821,81.88681931,4.21E+03,2346622.308,2544823.208,2773553.535,3005670.058,3187008.358,3321896.16,3423181.401,3477672.258,3525100.941,3587863.406,3617727.534,3657321.465,1.20E+03,1.74E+03,3.84E+02,8.86E+02,0.394511186,0.48
14,59,7,Grijalva,North America,"[(-140, -50), (12, 60)]",18.23501585,-92.72363288,1.46E+04,535686.7975,613187.7649,732668.2825,879754.8212,1007634.382,1138707.095,1279121.408,1429587.38,1565079.669,1722509.844,1829410.653,1932943.897,1.23E+03,1.51E+03,7.05E+02,1.12E+04,0.210183139,0.84
15,2,61,Indragiri,Australia and Oceania,"[(100, 180), (-50, 9)]",-0.317588035,103.3312615,3.76E+03,161295.0194,189441.9141,222440.1871,256205.1,291623.1351,312457.1608,333101.1973,350023.7747,380557.9937,425463.8062,466012.0068,514779.3394,4.94E+02,9.18E+01,4.50E+01,3.13E+03,0.314131101,0.96
16,66,48,Indus,Asia,"[(60, 150), (9, 60)]",24.15661266,68.06439246,1.48E+04,245972.5868,287862.0346,345616.339,408724.1323,466910.4321,539734.0612,604052.7549,667871.0085,715811.6636,755051.7228,829981.6377,908177.5925,6.47E+03,2.33E+03,1.58E+02,5.84E+03,0.101203831,0.8
17,8,58,Irrawaddy,Asia,"[(60, 150), (9, 60)]",16.38106271,95.42058024,2.03E+04,955685.227,1341917.522,1871824.112,2493100.65,3088500.987,3597590.742,3984616.154,4266564.285,4590077.374,4795776.174,4973119.471,5141414.62,3.63E+03,1.30E+04,4.96E+02,3.17E+03,0.363733966,0.25
18,48,57,Kaladan,Asia,"[(60, 150), (9, 60)]",20.3527537,93.09325001,2.54E+03,157727.2812,235109.4913,333042.8243,432625.1589,505449.6488,541642.7224,543023.1434,520201.546,494373.9906,446187.6056,408553.7882,374209.4587,6.06E+02,1.19E+03,7.52E+01,6.69E+02,0.220062725,0.44
19,23,67,Kapuas,Australia and Oceania,"[(100, 180), (-50, 9)]",-0.472396449,109.4129114,4.10E+03,310599.8349,364641.7853,418651.1639,471363.0878,525129.0499,578732.54,619589.2154,658921.537,700137.2364,735348.5747,769663.6706,804206.6929,4.53E+02,5.20E+02,1.36E+02,2.99E+03,0.335338772,0.83
0000000000000000001a,78,72,Kayan,Australia and Oceania,"[(100, 180), (-50, 9)]",2.93971589,117.5237644,1.63E+03,16781.48265,19431.3692,22487.42807,25668.93518,31994.40505,39684.24379,49122.682,60113.15403,71255.36838,79341.71772,85153.63789,93622.27321,7.82E+02,9.73E+01,1.79E+01,7.33E+02,0.371038825,0.92
0000000000000000001b,11,50,Khorovaya,Arctic,"[(-179, 179), (60, 80)]",66.03036292,72.19167104,1.62E+03,0.104043487,0.102555796,0.115239124,0.120698697,0.120241429,0.115649709,0.107698654,0.103376762,0.102121602,0.103746413,0.105461975,0.10683866,1.58E+02,3.79E-01,2.68E-02,1.46E+03,1.77E-04,1
0000000000000000001c,13,84,Kikori,Australia and Oceania,"[(100, 180), (-50, 9)]",-7.554582631,144.3978886,1.86E+03,5229.710217,5210.36814,5151.610083,5098.52997,5708.547032,6185.084485,6470.648169,6602.434879,6866.950491,7715.498483,7725.495557,7729.044138,5.83E+02,3.25E-03,1.44E+00,1.28E+03,7.04E-04,1
0000000000000000001d,28,52,Krishna,Asia,"[(60, 150), (9, 60)]",16.08542812,80.95177799,3.46E+03,868204.2177,947505.6665,1036580.796,1126504.297,1215168.649,1291140.819,1355568.512,1401195.042,1432751.113,1448778.334,1454248.459,1465211.893,7.42E+02,1.70E+03,2.45E+02,7.73E+02,0.412075947,0.43
0000000000000000001e,72,38,Kuban,Europe,"[(-25, 60), (35, 60)]",45.55293868,37.85326871,3.82E+03,27288.10274,27487.12674,28723.92076,30765.52512,32400.88108,32911.49098,33627.56572,35233.42271,37483.2971,39779.35856,40916.42652,41696.78354,5.72E+02,1.65E+03,6.45E+01,1.53E+03,0.240691046,0.48
0000000000000000001f,84,46,Kura,Europe,"[(-25, 60), (35, 60)]",39.39647898,49.06056657,3.25E+03,93070.37269,99091.93062,108320.0706,118697.0221,127760.8156,132855.5869,142052.1832,150124.7901,160191.4562,165765.2669,166503.2695,165507.1004,3.78E+02,1.07E+03,1.43E+02,1.66E+03,0.129280693,0.61
20,43,76,Lena,Arctic,"[(-179, 179), (60, 80)]",72.79600759,126.9600428,3.02E+04,118.0375676,124.0725059,134.3749759,149.0124678,148.0168954,141.8856161,137.6226804,137.3326991,139.5848338,140.9662691,140.67403,140.7903419,6.00E+03,1.56E+00,8.88E-02,2.42E+04,4.43E-07,1
21,46,35,Limpopo,Africa,"[(-25, 60), (-40, 35)]",-24.95571386,33.5796588,9.06E+02,20437.56012,21458.67211,20970.32543,19424.04459,19083.11398,17730.14524,18288.09248,18813.51588,20349.49403,24566.6849,27733.87977,30259.15602,3.91E+01,3.59E+02,1.62E+01,4.92E+02,0.207317514,0.58
22,25,3,MacKenzie,Arctic,"[(-179, 179), (60, 80)]",68.66505196,-135.0664608,9.99E+03,698.6094046,709.6850465,689.0142607,676.6735713,677.1409941,668.4121851,656.6994174,652.1932994,650.109809,657.6022988,648.7229622,638.1602881,2.98E+03,4.26E-02,8.43E-01,7.01E+03,0.001159564,1
23,27,13,Magdalena,South America,"[(-110, -30), (-60, 12)]",10.66233084,-74.69405867,4.08E+03,123281.5409,134834.3614,146577.8081,155496.1446,163782.4304,170398.9102,171933.8213,171171.4046,167878.5453,171767.8191,167217.2512,161598.198,4.11E+02,5.78E+01,4.14E+01,3.57E+03,0.244427279,0.97
24,53,71,Mahakam,Australia and Oceania,"[(100, 180), (-50, 9)]",-0.653866566,117.4254484,2.32E+03,15800.80556,19281.35854,23225.43695,27361.49001,30841.32532,34370.4461,42249.44075,51170.17617,60948.36291,70047.53039,77892.49468,86017.42385,8.61E+02,3.88E+01,1.76E+01,1.40E+03,0.272698044,0.97
25,41,55,Mahanadi,Asia,"[(60, 150), (9, 60)]",20.44126796,86.56228017,3.47E+03,1125541.668,1242497.474,1367482.115,1494224.767,1619462.164,1732867.131,1837020.414,1917662.045,1985573.143,2046606.791,2084163.528,2125600.78,5.86E+02,1.86E+03,2.93E+02,7.31E+02,0.358011233,0.32
26,49,78,Mamberamo,Australia and Oceania,"[(100, 180), (-50, 9)]",-1.718336107,137.6724121,3.23E+03,304.2247196,392.3282457,505.5698909,806.7458112,993.8190189,1039.518674,1011.029016,951.6671221,1019.164943,1422.356604,1767.696124,2283.602807,4.05E+02,1.39E-03,4.88E-01,2.82E+03,0.004008368,1
27,85,41,Mangoky,Africa,"[(-25, 60), (-40, 35)]",-21.40151706,43.58769292,7.49E+02,1959.305419,2428.536538,2994.460478,3691.190375,4598.848537,5600.810587,6387.000392,6893.463815,7821.441054,9618.194361,11426.84892,13463.8949,1.03E+02,4.86E+00,1.03E-02,6.41E+02,0.048436246,0.99
28,62,63,Masi,Australia and Oceania,"[(100, 180), (-50, 9)]",-2.583753492,104.9737714,2.70E+03,36250.1272,49324.0931,66330.10543,82730.89224,85009.45006,87487.11063,96626.11431,105792.4379,114001.5045,118077.8615,125054.1716,127683.3446,1.95E+02,1.23E+03,1.20E+02,1.16E+03,0.488413625,0.48
29,63,64,Mekong,Asia,"[(60, 150), (9, 60)]",10.03458697,105.6050224,4.17E+04,9807607.327,1.10E+07,1.25E+07,1.41E+07,1.56E+07,1.67E+07,1.74E+07,1.79E+07,1.87E+07,1.95E+07,2.01E+07,2.04E+07,8.56E+03,2.21E+04,8.04E+03,3.00E+03,0.428140799,0.26
0000000000000000002a,33,51,Messoyakha,Arctic,"[(-179, 179), (60, 80)]",67.88914186,77.98156532,2.06E+03,65.61216429,69.08854732,75.10302668,83.38487534,83.06897129,79.89677814,74.75832346,72.07351459,71.79456755,74.52921152,75.7616345,76.75061367,4.19E+02,3.39E-02,1.41E-01,1.64E+03,0.004257455,1
0000000000000000002b,6,10,Mira,South America,"[(-110, -30), (-60, 12)]",1.684280397,-78.809697,9.22E+02,45585.33548,54432.45288,64588.89639,75581.18047,91878.0738,107261.1868,115198.9586,120302.1332,121049.5122,128026.8297,127531.6628,124286.3608,1.34E+02,2.33E+00,1.01E+00,7.85E+02,0.069420625,1
0000000000000000002c,55,8,Mississippi,North America,"[(-140, -50), (12, 60)]",29.83254934,-90.51207987,3.50E+04,1605371.69,1715265.863,1749161.693,1694306.541,1709066.258,1707354.22,1688721.625,1576370.965,1630895.014,1650279.463,1658650.507,1683687.791,1.24E+04,2.92E+03,1.92E+03,1.78E+04,0.297663216,0.79
0000000000000000002d,4,81,Mitchell,Australia and Oceania,"[(100, 180), (-50, 9)]",-15.62433276,141.5579121,2.28E+03,1.332820216,1.238604487,1.163454688,2.846314671,2.795039061,4.419211362,4.495557528,4.586959541,4.479548085,6.87951107,6.705501679,6.326335658,1.31E+02,7.29E+01,1.20E+00,2.07E+03,0.00380211,0.97
0000000000000000002e,58,28,Niger,Africa,"[(-25, 60), (-40, 35)]",5.113876364,5.989566168,2.65E+04,2651408.334,3062501.402,3489258.93,3969719.145,4504002.72,5114676.146,5898343.59,6862915.437,7973342.283,9143072.466,1.04E+07,1.17E+07,2.94E+03,4.47E+01,7.35E+02,2.28E+04,0.168218382,0.97
0000000000000000002f,44,33,Nile,Africa,"[(-25, 60), (-40, 35)]",31.23730778,31.25623633,1.00E+04,5165746.034,5884378.974,6788644.314,7636224.662,8345119.613,9235082.054,1.02E+07,1.13E+07,1.25E+07,1.38E+07,1.47E+07,1.55E+07,2.17E+03,5.64E+03,1.25E+03,9.40E+02,0.578289347,0.25
30,60,49,Ob,Arctic,"[(-179, 179), (60, 80)]",66.71076978,69.3515515,6.26E+03,3417.28676,3410.754459,3528.084818,3745.03295,4048.558258,4200.675352,4515.813845,4911.851541,5355.499773,5635.045513,5720.902607,5772.822872,1.80E+03,8.33E-02,2.55E+00,4.46E+03,0.014434504,1
31,14,15,Orinoco,South America,"[(-110, -30), (-60, 12)]",9.257880305,-61.73077661,2.76E+04,23682.97585,30046.85886,39454.78945,51787.30747,68066.63774,85874.70545,106567.2268,135666.3251,179731.3646,203620.1533,249651.0452,307875.1525,2.06E+03,2.20E+01,3.32E+01,2.55E+04,0.023957196,1
32,73,19,Paraiba Do Sul,South America,"[(-110, -30), (-60, 12)]",-21.91293962,-41.23625709,2.55E+03,124658.7983,131948.8469,161971.2215,199363.6963,220237.6754,235280.3435,255121.5276,275155.0278,286834.4557,294207.1346,300220.5168,307168.3348,2.78E+02,1.85E+02,1.81E+02,1.91E+03,0.320062876,0.85
33,30,16,Parana,South America,"[(-110, -30), (-60, 12)]",-33.31945965,-59.63249044,1.82E+04,121029.8232,131173.7695,141122.7073,151748.5039,170093.2845,190847.3071,216662.3095,245765.207,267400.4319,279094.8795,291643.1857,304524.2325,1.65E+03,8.12E+02,1.18E+02,1.56E+04,0.098492085,0.95
34,80,18,Parnaiba,South America,"[(-110, -30), (-60, 12)]",-2.821999171,-41.97097847,1.36E+03,44078.16683,47304.13172,52904.45098,57991.34183,63301.04561,69252.99073,76331.03475,82604.39623,87403.32898,91182.64137,93837.01847,96841.96925,2.86E+02,1.10E+01,3.17E+01,1.03E+03,0.125727766,0.96
35,79,11,Patia,South America,"[(-110, -30), (-60, 12)]",2.382629181,-78.4537308,1.56E+03,19113.9309,22593.9964,26597.65354,31000.47049,36957.82871,42533.226,46612.56432,49614.59512,50831.88915,54375.18213,55179.27832,54203.03835,3.41E+02,1.50E-01,2.31E+00,1.22E+03,0.025970812,1
36,38,69,Pearl,Asia,"[(60, 150), (9, 60)]",22.74028471,113.244595,7.25E+03,1941830.072,2299294.137,2806901.203,3547563.151,5799526.673,9967385.242,1.17E+07,1.30E+07,1.32E+07,1.33E+07,1.33E+07,1.32E+07,3.00E+03,7.33E+02,3.23E+03,2.87E+02,0.858139172,0.35
37,32,47,Pechora,Arctic,"[(-179, 179), (60, 80)]",67.89639274,53.18124547,3.16E+03,706.9127463,680.2952098,674.9420573,682.4447222,659.2216331,609.8121324,544.2916524,497.2781917,465.751381,444.8540143,421.3787674,399.2494222,7.51E+02,7.84E-01,1.06E+00,2.41E+03,0.011430362,1
38,34,29,Po,Europe,"[(-25, 60), (35, 60)]",44.94917911,12.2393692,1.45E+03,165498.9336,167080.4423,165900.1596,164507.1838,163400.2873,161321.9294,162265.7486,163983.6598,157960.4917,147724.195,139980.6722,131982.6389,2.66E+02,9.97E+02,1.12E+02,7.50E+01,0.693970319,0.13
39,54,85,Purari,Australia and Oceania,"[(100, 180), (-50, 9)]",-7.607134904,145.0441551,2.13E+03,6208.143275,6833.369236,7403.260566,8100.535896,8760.739747,9088.503586,9274.784118,9213.456414,9000.234505,8654.331467,8709.850332,8702.644053,1.70E+02,5.22E-03,1.25E+00,1.96E+03,0.001545989,1
0000000000000000003a,20,68,Rajang,Australia and Oceania,"[(100, 180), (-50, 9)]",2.470512127,111.5243881,4.83E+03,57035.53527,61155.62294,64701.55344,69068.90976,75716.11619,81000.78702,90621.38272,98588.01206,102755.9515,102651.1569,104103.7508,106357.0432,6.91E+02,4.28E+02,4.30E+01,3.67E+03,0.382562417,0.89
0000000000000000003b,3,65,Red River,Asia,"[(60, 150), (9, 60)]",20.65012717,106.2263523,1.04E+04,8404245.616,9524531.393,1.07E+07,1.19E+07,1.29E+07,1.37E+07,1.44E+07,1.49E+07,1.55E+07,1.59E+07,1.60E+07,1.57E+07,1.29E+03,5.32E+03,3.54E+03,2.50E+02,0.563484056,0.12
0000000000000000003c,17,27,Rhine-Meuse,Europe,"[(-25, 60), (35, 60)]",51.90842567,4.705489631,7.21E+03,4428434.828,4549786.471,4666048.556,4805833.014,4968619.991,5117479.25,5240394.031,5379649.291,5545497.823,5710954.81,5839307.549,5939875.255,9.81E+02,3.38E+03,2.01E+03,8.39E+02,0.852127977,0.18
0000000000000000003d,16,26,Rhone,Europe,"[(-25, 60), (35, 60)]",43.54594504,4.537825823,1.63E+03,88687.66854,90914.93843,93904.98518,97125.02213,98493.41177,100888.5829,105609.3386,110303.3292,113415.8839,115705.2483,117924.8818,120462.0964,3.98E+02,6.98E+02,1.22E+02,4.12E+02,0.496751707,0.39
0000000000000000003e,39,9,Rio Guayas,South America,"[(-110, -30), (-60, 12)]",-2.29407345,-79.85491452,3.26E+03,704876.485,846952.5812,991615.3019,1131837.939,1210127.777,1291761.499,1344352.93,1384253.537,1443442.581,1544511.378,1635122.511,1732323.779,1.35E+03,7.77E+02,1.69E+02,9.64E+02,0.341599619,0.62
0000000000000000003f,61,39,Rufiji,Africa,"[(-25, 60), (-40, 35)]",-8.006928892,39.29529248,1.53E+03,25325.17216,28084.31316,30815.87209,33390.94414,36650.03704,38454.55381,40007.15196,41251.16411,43156.62853,45792.52105,47503.04763,49432.56385,1.95E+02,2.66E+01,1.31E+01,1.30E+03,0.159166657,0.97
40,9,23,Saloum,Africa,"[(-25, 60), (-40, 35)]",13.99793407,-16.52016588,2.43E+03,54997.90182,59822.43317,64757.4943,71517.26245,82661.64173,92646.12724,98904.42961,105647.8901,113104.9698,122970.8868,135806.8237,149601.6965,7.01E+02,5.38E-01,2.57E+01,1.70E+03,0.0817845,0.99
41,37,59,Salween,Asia,"[(60, 150), (9, 60)]",16.42378776,97.50359748,1.78E+03,58838.91718,78817.68228,101841.336,125257.6919,134286.0519,136699.4775,137551.9768,133447.4451,131024.6618,131709.6278,129815.7364,127787.4736,4.09E+02,9.92E+02,2.66E+01,3.52E+02,0.280098657,0.32
42,57,12,San Juan,South America,"[(-110, -30), (-60, 12)]",4.171318468,-77.41056727,7.29E+02,1757.917041,2114.626274,2559.487902,3086.181622,3706.657578,4377.267322,5010.106351,5580.444949,5966.454838,6616.351176,6987.347714,7125.512809,1.12E+02,2.21E+00,2.79E-01,6.15E+02,0.001729226,1
43,67,21,Sao Francisco,South America,"[(-110, -30), (-60, 12)]",-10.44133663,-36.49581552,8.30E+02,32254.65485,33371.56548,36823.75772,39296.21828,41555.91716,42997.72431,44547.72906,44923.37313,45498.29729,47241.23318,48458.80163,49923.945,9.56E+01,4.17E+01,2.30E+01,6.70E+02,0.194109744,0.92
44,18,24,Senegal,Africa,"[(-25, 60), (-40, 35)]",16.38617672,-16.13491059,3.42E+03,212406.3809,231284.9804,255026.6737,285878.6238,316353.683,338028.9727,364538.1906,396316.5888,432651.5824,480161.9946,529202.8501,582181.9111,2.30E+02,1.35E+03,5.27E+01,1.79E+03,0.098200077,0.58
45,15,83,Sepik,Australia and Oceania,"[(100, 180), (-50, 9)]",-3.900835832,144.3271204,1.26E+03,2648.82522,2845.854164,3048.602303,3275.426056,3784.933549,4295.804513,4944.425024,5581.47277,6054.555379,6153.80534,6105.900527,6164.980146,1.81E+02,1.54E-01,2.06E-01,1.08E+03,0.028773228,1
46,12,70,Sesayap,Australia and Oceania,"[(100, 180), (-50, 9)]",3.520630582,117.2609473,1.87E+03,1768.055319,2174.05764,2753.485725,3356.898977,4416.427719,6154.991406,8215.797248,11057.40968,14674.97732,19025.22491,21545.33493,23832.36624,1.00E+03,2.73E+01,1.05E+01,8.32E+02,0.273003992,0.97
47,45,44,Shatt Al-Arab,Africa,"[(-25, 60), (-40, 35)]",30.54747519,48.05863696,1.88E+04,797909.9012,945786.0745,1122674.478,1289605.141,1546671.411,1825207.224,2169575.869,2379672.268,2870576.414,3208424.246,3546481.652,3875331.811,5.42E+03,1.57E+03,6.74E+02,1.11E+04,0.211326268,0.87
48,83,42,Tsiribihina,Africa,"[(-25, 60), (-40, 35)]",-19.72916455,44.48593724,6.64E+02,329.6715334,401.2213369,470.5063063,590.5869097,844.6444493,1385.382773,2300.541798,3885.388034,5859.32056,8247.798258,10330.62498,13353.67933,1.29E+02,8.19E+01,5.30E-01,4.53E+02,0.099379981,0.86
49,5,31,Vistula,Europe,"[(-25, 60), (35, 60)]",54.16917841,19.04948529,1.81E+03,271638.5507,288403.9894,294435.6228,297664.2157,294675.4328,290518.3187,285324.2755,280314.1241,276355.0657,274203.279,285728.2106,283208.758,6.83E+01,1.47E+03,1.44E+02,1.28E+02,0.590888572,0.1
0000000000000000004a,81,45,Volga,Europe,"[(-25, 60), (35, 60)]",46.02173285,48.46606809,1.44E+04,552018.9131,570040.9239,589129.6181,607273.3683,610465.2734,606763.4852,604012.333,609315.9692,617519.86,625957.2302,618943.8722,615185.6006,2.28E+03,1.01E+03,2.92E+02,1.08E+04,0.098220327,0.88
0000000000000000004b,50,77,Yana,Arctic,"[(-179, 179), (60, 80)]",71.22559848,136.2734461,9.87E+03,243.1972588,246.5118871,258.594023,277.5678067,276.5704239,266.4568629,280.2716233,299.6808172,319.889295,314.4529692,316.2211655,316.7470416,1.09E+03,2.84E+00,1.78E+00,8.78E+03,0.001275756,1
0000000000000000004c,56,74,Yangtze,Asia,"[(60, 150), (9, 60)]",31.5820647,120.7397501,4.38E+04,2.57E+07,2.78E+07,3.15E+07,3.63E+07,4.30E+07,5.11E+07,5.66E+07,6.22E+07,6.86E+07,7.57E+07,8.00E+07,8.20E+07,9.71E+03,1.34E+04,1.92E+04,1.49E+03,0.80529889,0.12
0000000000000000004d,10,73,Yellow,Asia,"[(60, 150), (9, 60)]",37.61989774,118.3632774,1.20E+04,1836307.99,2056246.296,2332069.736,2700231.796,3008713.662,3376093.693,3542149.316,3665895.101,3918642.796,4160544.033,4269281.031,4285689.408,2.33E+03,6.78E+03,1.87E+03,1.02E+03,0.482060915,0.25
